route,check,severity,detail
/leaderboard,C1,3,"131 words of main content (<150)"
/about,C2,3,"first-200-chars identical across 1341 pages: e.g. /about, /age-calculator, /answers/how-does-stress-affect-life-expectancy, /answers/how-long-will-i-live"
/,T2,3,"title 103 chars (>65): ""Best Age Calculator, Celebrity Birthday Match & Life Expectancy | BornClock - Age & Birthday Calculator"""
/birthday/2/24,T2,3,"title 70 chars (>65): ""February 24 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/25,T2,3,"title 70 chars (>65): ""February 25 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/26,T2,3,"title 70 chars (>65): ""February 26 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/27,T2,3,"title 70 chars (>65): ""February 27 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/28,T2,3,"title 70 chars (>65): ""February 28 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/3,T2,3,"title 69 chars (>65): ""February 3 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/4,T2,3,"title 69 chars (>65): ""February 4 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/5,T2,3,"title 69 chars (>65): ""February 5 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/6,T2,3,"title 69 chars (>65): ""February 6 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/7,T2,3,"title 69 chars (>65): ""February 7 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/8,T2,3,"title 69 chars (>65): ""February 8 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/2/9,T2,3,"title 69 chars (>65): ""February 9 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/1,T2,3,"title 66 chars (>65): ""March 1 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/10,T2,3,"title 67 chars (>65): ""March 10 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/11,T2,3,"title 67 chars (>65): ""March 11 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/12,T2,3,"title 67 chars (>65): ""March 12 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/13,T2,3,"title 67 chars (>65): ""March 13 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/14,T2,3,"title 67 chars (>65): ""March 14 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/15,T2,3,"title 67 chars (>65): ""March 15 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/16,T2,3,"title 67 chars (>65): ""March 16 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/17,T2,3,"title 67 chars (>65): ""March 17 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/18,T2,3,"title 67 chars (>65): ""March 18 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/19,T2,3,"title 67 chars (>65): ""March 19 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/2,T2,3,"title 66 chars (>65): ""March 2 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/20,T2,3,"title 67 chars (>65): ""March 20 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/21,T2,3,"title 67 chars (>65): ""March 21 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/22,T2,3,"title 67 chars (>65): ""March 22 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/23,T2,3,"title 67 chars (>65): ""March 23 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/24,T2,3,"title 67 chars (>65): ""March 24 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/25,T2,3,"title 67 chars (>65): ""March 25 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/26,T2,3,"title 67 chars (>65): ""March 26 Birthday — Personality, Zodiac & Famous People | BornClock"""
/birthday/3/27,T2,3,"title 67 chars (>65): ""March 27 Birthday — Personality, Zodiac & Famous People | BornClock"""
