name,our_birth_date,wd_birth_date,stage,qid
Shilpa Shetty,1975-06-08,1976-06-08,B2,Q270665
Hima Das,1999-01-09,2000-01-09,B2,Q51876537
Amisha Patel,1976-06-09,1975-06-09,B2,Q263819
Ursula K. Le Guin,1928-10-21,1929-10-21,B2,Q181659
Ignatius of Loyola,1491-01-01,1491-11-10,A2,Q44281
George III of Great Britain,1738-01-01,1738-06-04,A2,Q127318
Jan Hus,1371-01-01,1372-07-01,B2,Q43977
Osman I,1259-01-01,1258-08-23,B2,Q83100
Mary I of England,1516-01-01,1516-02-18,B2,Q82674
Joan Crawford,1904-03-23,1905-03-23,B2,Q40475
Nadia Murad Basee,1994-03-10,1993-03-10,B2,Q22007112
John Donne,1572-01-01,1572-02-01,A2,Q140412
Paul Samuelson,1915-01-01,1915-05-15,A2,Q102454
Ibn Saud,1877-01-15,1876-01-15,B2,Q151509
Hugo Grotius,1583-01-01,1583-04-10,A2,Q154959
Vlad the Impaler,1431-01-01,1431-11-11,A2,Q43715
Diane Keaton,1946-01-01,1946-01-05,A2,Q102642
Boniface VIII,1235-01-01,1235-01-23,A2,Q134646
Alexandra Kollontai,1872-01-01,1872-04-01,A2,Q179558
Harry Martinson,1904-01-01,1904-05-06,A2,Q132695
Roberto Benigni,1953-10-27,1952-10-27,B2,Q23301
Georgia O'Keeffe,1887-01-01,1887-11-15,B2,Q46408
Jacopo Tintoretto,1519-01-01,1518-09-29,B2,Q9319
Philipp Melanchthon,1497-01-01,1497-02-25,A2,Q76325
Anna Pavlova,1881-02-12,1882-02-12,B2,Q151874
Gertrude B. Elion,1919-01-23,1918-01-23,B2,Q35703
Henry I of England,1068-01-01,1068-09-21,A2,Q101384
King Faisal bin Abdulaziz Al Saud,1905-04-14,1906-04-14,B2,Q217167
Charles VIII of France,1470-01-01,1470-07-09,A2,Q134452
Yevgeny Zamyatin,1884-01-01,1884-02-01,A2,Q204868
Tyra Banks,1973-01-01,1973-12-04,A2,Q172303
Cao Cao,0155-01-01,0155-03-17,A2,Q204077
Afonso I of Portugal,1109-01-01,1109-08-12,A2,Q587697
Lucy Lawless,1969-03-29,1968-03-29,B2,Q133112
Charles Francis Richter,1901-04-26,1900-04-26,B2,Q184014
Paco de Lucía,1947-01-01,1947-12-21,A2,Q153300
Ward Cunningham,1949-01-01,1949-05-26,B2,Q7637
Patriarch Bartholomew of Constantinople,1940-01-01,1940-02-29,B2,Q44501
Mani Ratnam,1956-06-02,1955-06-02,B2,Q174648
